epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.019,3.09762,6.89418,1.4779,0.00057,0.01621,0.00052,0.00017,3.26571,6.19505,1.2247,6e-05,6e-05,0.09806
2,439.023,3.16314,7.03347,1.44816,0.0011,0.01735,0.00094,0.00028,3.27731,6.16803,1.22086,0.00014901,0.00014901,0.095149
3,633.683,3.11205,6.9594,1.44705,0.00129,0.01697,0.00116,0.00035,3.27891,6.14122,1.21557,0.000236832,0.000236832,0.0922368
4,827.115,3.0251,6.19926,1.25814,0.00228,0.02126,0.00225,0.00134,3.09317,inf,1.10229,0.000323466,0.000323466,0.0893235
5,1015.78,2.89086,4.70688,1.11054,0.00307,0.01179,0.00192,0.00061,2.835,inf,1.08286,0.000408912,0.000408912,0.0864089
6,1167.71,2.60729,3.81241,1.05265,0,0,0,0,nan,nan,nan,0.00049317,0.00049317,0.0834932
7,1347.23,2.46363,3.45009,1.02313,0,0,0,0,nan,nan,nan,0.00057624,0.00057624,0.0805762
8,1511.83,2.38394,2.97791,0.99511,0,0,0,0,nan,nan,nan,0.000658122,0.000658122,0.0776581
9,1710.1,2.35159,2.8006,0.97881,0,0,0,0,nan,nan,nan,0.000738816,0.000738816,0.0747388
10,1878.3,2.2199,2.61244,0.96315,0,0,0,0,nan,nan,nan,0.000818322,0.000818322,0.0718183
11,2065.45,2.26348,2.67451,0.96918,0,0,0,0,nan,nan,nan,0.00089664,0.00089664,0.0688966
12,2228.78,2.07182,2.30027,0.94106,0,0,0,0,nan,nan,nan,0.00097377,0.00097377,0.0659738
13,2417.97,1.99921,2.06094,0.93145,0,0,0,0,nan,nan,nan,0.00104971,0.00104971,0.0630497
14,2581.5,2.02604,2.06495,0.92541,0,0,0,0,nan,nan,nan,0.00112447,0.00112447,0.0601245
15,2778.36,1.99287,1.88814,0.90205,0,0,0,0,nan,nan,nan,0.00119803,0.00119803,0.057198
16,2942.14,2.02895,1.98115,0.93493,0,0,0,0,nan,nan,nan,0.00127041,0.00127041,0.0542704
17,3140.34,1.94471,1.74808,0.89617,0,0,0,0,nan,nan,nan,0.0013416,0.0013416,0.0513416
18,3294.15,1.87058,1.64978,0.91746,0,0,0,0,nan,nan,nan,0.0014116,0.0014116,0.0484116
19,3491.34,1.89845,1.68457,0.90664,0,0,0,0,nan,nan,nan,0.00148042,0.00148042,0.0454804
20,3660.13,1.91473,1.67778,0.91137,0,0,0,0,nan,nan,nan,0.00154804,0.00154804,0.042548
21,3876.42,1.89314,1.60905,0.90296,0,0,0,0,nan,nan,nan,0.00161448,0.00161448,0.0396145
22,4031.44,1.85952,1.53165,0.90627,0,0,0,0,nan,nan,nan,0.00167973,0.00167973,0.0366797
23,4233.46,1.8466,1.59572,0.90905,0,0,0,0,nan,nan,nan,0.00174379,0.00174379,0.0337438
24,4398.6,1.94601,1.58899,0.90373,0,0,0,0,nan,nan,nan,0.00180667,0.00180667,0.0308067
25,4572.4,1.96201,1.6876,0.91591,0,0,0,0,nan,nan,nan,0.00186835,0.00186835,0.0278684
26,4729.48,1.85171,1.53773,0.90373,0,0,0,0,nan,nan,nan,0.00192885,0.00192885,0.0249289
27,4927.07,1.90577,1.57559,0.89814,0,0,0,0,nan,nan,nan,0.00198816,0.00198816,0.0219882
28,5083.44,1.99279,1.58957,0.92069,0,0,0,0,5.03258,inf,2.19542,0.00204628,0.00204628,0.0190463
29,5259.33,1.82597,1.47098,0.89737,0.00498,0.00052,0.00261,0.00053,4.76291,6.31445,1.76097,0.00210322,0.00210322,0.0161032
30,5422.65,1.81776,1.43031,0.88161,0.03468,0.03201,0.02635,0.01236,2.6594,6.04592,1.0785,0.00215896,0.00215896,0.013159
31,5632.69,1.80164,1.4844,0.8912,0.10029,0.03651,0.06607,0.03946,2.48022,13.651,1.07276,0.00221352,0.00221352,0.0102135
32,5792.04,1.82142,1.42252,0.88696,0.00368,0.00065,0.00193,0.00068,3.16774,5.24329,1.1369,0.00226689,0.00226689,0.00726689
33,5976.64,1.7802,1.56541,0.89525,0.00815,0.00094,0.00432,0.00148,3.27336,6.37043,1.15758,0.00231907,0.00231907,0.00431907
34,6134.98,1.80502,1.51257,0.8859,0.3491,0.12058,0.11311,0.06201,2.18838,6.06993,0.9571,0.0023466,0.0023466,0.0023466
35,6307.06,1.79947,1.51024,0.90573,0.20051,0.09624,0.1001,0.06001,2.26821,11.1768,0.98158,0.0023268,0.0023268,0.0023268
36,6459.93,1.78185,1.39135,0.87621,0.24868,0.23467,0.18617,0.10568,2.15456,3.03115,0.97854,0.002307,0.002307,0.002307
37,6665.32,1.76601,1.42367,0.88249,0.40926,0.23426,0.22209,0.12428,2.10528,2.42599,0.96472,0.0022872,0.0022872,0.0022872
38,6823.27,1.72329,1.30684,0.8761,0.11274,0.12391,0.09909,0.0564,2.22361,3.84414,0.96715,0.0022674,0.0022674,0.0022674
39,6998.64,1.82652,1.36538,0.88825,0.0818,0.07479,0.06049,0.0295,2.32223,3.99848,0.96776,0.0022476,0.0022476,0.0022476
40,7157.3,1.75262,1.2918,0.87684,0.16968,0.13782,0.13712,0.07057,2.19211,3.33487,0.96405,0.0022278,0.0022278,0.0022278
41,7360.94,1.73327,1.28264,0.86872,0.18432,0.24376,0.22542,0.12346,2.10075,3.61516,0.94732,0.002208,0.002208,0.002208
42,7510.6,1.77125,1.32445,0.88019,0.21671,0.23679,0.22914,0.12883,1.98106,4.90572,0.92477,0.0021882,0.0021882,0.0021882
43,7717.65,1.79055,1.30765,0.87659,0.20209,0.24926,0.24636,0.1384,1.96809,3.5324,0.92488,0.0021684,0.0021684,0.0021684
44,7879.5,1.76699,1.35246,0.86775,0.20387,0.13342,0.16376,0.10087,1.95401,8.076,0.9283,0.0021486,0.0021486,0.0021486
45,8069.38,1.69246,1.21934,0.85787,0.31025,0.18635,0.20381,0.12335,1.93947,8.35992,0.92284,0.0021288,0.0021288,0.0021288
46,8226.06,1.63768,1.15864,0.86257,0.31302,0.24645,0.22625,0.12887,1.97572,3.77474,0.92108,0.002109,0.002109,0.002109
47,8414.75,1.66275,1.23176,0.86583,0.23014,0.3285,0.28662,0.1696,1.97225,2.77595,0.92886,0.0020892,0.0020892,0.0020892
48,8578.32,1.62428,1.08976,0.86145,0.10553,0.0269,0.06495,0.04207,2.21902,9.40417,0.98282,0.0020694,0.0020694,0.0020694
49,8776.8,1.63997,1.15818,0.86724,0.04757,0.01485,0.02905,0.01436,2.26285,10.9006,0.98677,0.0020496,0.0020496,0.0020496
50,8933.14,1.64695,1.203,0.87899,0.17331,0.40025,0.30221,0.17325,1.98877,2.34334,0.93514,0.0020298,0.0020298,0.0020298
51,9126.4,1.67217,1.13363,0.85846,0.45857,0.32725,0.35116,0.196,1.8671,2.06891,0.91838,0.00201,0.00201,0.00201
52,9286.84,1.6179,1.10064,0.84246,0.2222,0.39826,0.33509,0.19526,1.89182,2.1535,0.90505,0.0019902,0.0019902,0.0019902
53,9476.13,1.65682,1.14768,0.86117,0.16103,0.21644,0.20833,0.11235,1.98435,2.63519,0.92588,0.0019704,0.0019704,0.0019704
54,9626.68,1.58976,1.0937,0.86457,0.1398,0.26378,0.20874,0.11101,1.97541,2.58947,0.92219,0.0019506,0.0019506,0.0019506
55,9818.06,1.65783,1.07295,0.84964,0.1806,0.36162,0.32225,0.17955,1.91977,2.35799,0.9115,0.0019308,0.0019308,0.0019308
56,9972.77,1.65872,1.09404,0.84638,0.20363,0.41956,0.35332,0.1966,1.91443,2.29835,0.90228,0.001911,0.001911,0.001911
57,10179,1.60309,1.03394,0.84875,0.5473,0.35378,0.38281,0.22218,1.92795,2.00335,0.91875,0.0018912,0.0018912,0.0018912
58,10341.7,1.65881,1.03159,0.83919,0.58045,0.33537,0.38026,0.21442,1.89474,1.6921,0.90976,0.0018714,0.0018714,0.0018714
59,10534.2,1.61717,1.05486,0.86143,0.608,0.3414,0.38391,0.21703,1.91654,1.69186,0.91277,0.0018516,0.0018516,0.0018516
60,10694.5,1.6275,1.03962,0.84365,0.13464,0.25034,0.21865,0.10865,2.30776,2.65472,0.9759,0.0018318,0.0018318,0.0018318
61,10904.2,1.58361,1.00433,0.85946,0.11637,0.23452,0.19471,0.09565,2.48219,2.73193,0.99548,0.001812,0.001812,0.001812
62,11063.4,1.56039,0.93901,0.84499,0.57394,0.38504,0.42694,0.24179,1.82675,1.6067,0.89642,0.0017922,0.0017922,0.0017922
63,11241.3,1.58914,1.02618,0.85684,0.58775,0.41062,0.44565,0.25224,1.81862,1.54136,0.8956,0.0017724,0.0017724,0.0017724
64,11395.5,1.56381,0.96601,0.84292,0.61968,0.466,0.51937,0.28793,1.85382,1.57508,0.90254,0.0017526,0.0017526,0.0017526
65,11580.2,1.63445,0.99894,0.8524,0.5546,0.38711,0.46373,0.26319,1.81932,1.7202,0.89976,0.0017328,0.0017328,0.0017328
66,11741,1.59034,0.96283,0.85337,0.58568,0.34968,0.41702,0.24035,1.85028,1.79083,0.90161,0.001713,0.001713,0.001713
67,11943.8,1.61705,0.98538,0.85638,0.59317,0.28761,0.38182,0.22002,1.89139,2.00586,0.90658,0.0016932,0.0016932,0.0016932
68,12100.8,1.59912,0.96244,0.84378,0.19871,0.34176,0.30953,0.1727,1.94754,2.45659,0.91577,0.0016734,0.0016734,0.0016734
69,12301.1,1.5676,0.99725,0.85678,0.22227,0.32804,0.30786,0.16603,2.03039,2.53845,0.92863,0.0016536,0.0016536,0.0016536
70,12466.7,1.55273,0.96596,0.85449,0.23027,0.36683,0.34464,0.19635,1.90951,2.43734,0.90829,0.0016338,0.0016338,0.0016338
71,12654.3,1.58145,0.95606,0.84625,0.21898,0.42353,0.37032,0.21543,1.90522,2.23461,0.90775,0.001614,0.001614,0.001614
72,12803.8,1.57139,0.94937,0.84411,0.59217,0.43754,0.51265,0.30483,1.83233,1.4044,0.90018,0.0015942,0.0015942,0.0015942
73,12995.1,1.52306,0.93959,0.85661,0.52294,0.3387,0.4073,0.23841,1.86364,1.86209,0.90395,0.0015744,0.0015744,0.0015744
74,13154.3,1.52414,0.89507,0.85031,0.25504,0.45887,0.39501,0.22384,1.85491,2.12452,0.89792,0.0015546,0.0015546,0.0015546
75,13352.5,1.56458,0.88928,0.83416,0.56299,0.41025,0.48046,0.27863,1.80864,1.63054,0.89272,0.0015348,0.0015348,0.0015348
76,13518.5,1.51348,0.82609,0.8344,0.69809,0.50126,0.60131,0.36038,1.75091,1.27327,0.88856,0.001515,0.001515,0.001515
77,13694.5,1.52072,0.85432,0.84354,0.69686,0.50991,0.59602,0.35297,1.75542,1.29517,0.89297,0.0014952,0.0014952,0.0014952
78,13846.2,1.49967,0.86801,0.83509,0.64178,0.51135,0.56952,0.33375,1.75093,1.32437,0.8872,0.0014754,0.0014754,0.0014754
79,14048.2,1.53213,0.84642,0.82867,0.62074,0.48987,0.55653,0.3241,1.75179,1.43904,0.88924,0.0014556,0.0014556,0.0014556
80,14204.8,1.4908,0.88192,0.8388,0.70357,0.5557,0.6515,0.38532,1.73731,1.20879,0.88683,0.0014358,0.0014358,0.0014358
81,14402.6,1.43964,0.78887,0.83702,0.64212,0.59606,0.6218,0.36455,1.71832,1.2255,0.88828,0.001416,0.001416,0.001416
82,14560.4,1.48608,0.86567,0.8266,0.66931,0.57787,0.64707,0.38057,1.73182,1.21679,0.88971,0.0013962,0.0013962,0.0013962
83,14762.9,1.46334,0.8198,0.83437,0.60979,0.62786,0.66769,0.38825,1.73962,1.18484,0.88739,0.0013764,0.0013764,0.0013764
84,14930.4,1.50301,0.80568,0.83064,0.66092,0.53717,0.65364,0.38382,1.71677,1.2089,0.88455,0.0013566,0.0013566,0.0013566
85,15121.4,1.42423,0.78343,0.83512,0.70538,0.5083,0.63962,0.38468,1.73215,1.23123,0.88466,0.0013368,0.0013368,0.0013368
86,15282.7,1.53581,0.86634,0.84451,0.62879,0.55729,0.60132,0.35084,1.78397,1.2811,0.89096,0.001317,0.001317,0.001317
87,15478.7,1.47731,0.82899,0.84625,0.59342,0.4964,0.54797,0.31711,1.80934,1.4303,0.89221,0.0012972,0.0012972,0.0012972
88,15634.3,1.46249,0.78654,0.83781,0.65468,0.37907,0.45471,0.27029,1.85004,1.74112,0.89301,0.0012774,0.0012774,0.0012774
89,15819.8,1.44777,0.80536,0.83281,0.60865,0.39627,0.47644,0.28193,1.86759,1.6905,0.89745,0.0012576,0.0012576,0.0012576
90,15978.1,1.46872,0.7789,0.83441,0.69595,0.54737,0.6079,0.37068,1.69805,1.26756,0.86993,0.0012378,0.0012378,0.0012378
91,16180.6,1.43351,0.78684,0.83223,0.73232,0.56113,0.63616,0.38334,1.68061,1.18661,0.86405,0.001218,0.001218,0.001218
92,16350.6,1.4705,0.81786,0.82783,0.70255,0.58647,0.65732,0.39717,1.67553,1.08438,0.86689,0.0011982,0.0011982,0.0011982
93,16530.7,1.43577,0.79118,0.83622,0.63454,0.64329,0.684,0.41477,1.67445,1.07059,0.87467,0.0011784,0.0011784,0.0011784
94,16692.4,1.40759,0.76252,0.83499,0.70212,0.69012,0.71398,0.44693,1.65012,1.02132,0.87879,0.0011586,0.0011586,0.0011586
95,16894.9,1.45968,0.77436,0.82631,0.72289,0.63616,0.69656,0.43015,1.67467,1.01393,0.87827,0.0011388,0.0011388,0.0011388
96,17060.5,1.40831,0.75708,0.82942,0.7959,0.61089,0.68585,0.41103,1.67788,0.99991,0.87737,0.001119,0.001119,0.001119
97,17249,1.42583,0.73651,0.82112,0.78558,0.62435,0.71803,0.43298,1.67888,1.00966,0.87623,0.0010992,0.0010992,0.0010992
98,17406.9,1.41122,0.75367,0.82779,0.71587,0.64958,0.70733,0.42132,1.67983,1.03784,0.87569,0.0010794,0.0010794,0.0010794
99,17614.6,1.40064,0.72656,0.83427,0.71786,0.66052,0.72061,0.43163,1.65049,1.01919,0.8719,0.0010596,0.0010596,0.0010596
100,17774,1.36613,0.73016,0.82666,0.74973,0.63808,0.69914,0.41479,1.67723,1.04504,0.87085,0.0010398,0.0010398,0.0010398
101,17950.1,1.42279,0.72567,0.82524,0.72065,0.62135,0.68804,0.41343,1.65579,1.06237,0.86765,0.00102,0.00102,0.00102
102,18110.4,1.37115,0.73135,0.82727,0.72227,0.58311,0.67028,0.40561,1.65876,1.09275,0.86524,0.0010002,0.0010002,0.0010002
103,18306,1.37803,0.69635,0.82013,0.67427,0.62521,0.66881,0.40239,1.67472,1.08012,0.86418,0.0009804,0.0009804,0.0009804
104,18471.9,1.40702,0.72786,0.82547,0.71163,0.658,0.71934,0.43925,1.67721,1.0278,0.86474,0.0009606,0.0009606,0.0009606
105,18682.2,1.41359,0.72907,0.82587,0.70766,0.68668,0.73525,0.44471,1.65213,0.9815,0.86504,0.0009408,0.0009408,0.0009408
106,18841.7,1.39042,0.71812,0.82788,0.74382,0.6907,0.75784,0.45667,1.63913,0.94507,0.86994,0.000921,0.000921,0.000921
107,19026.5,1.36189,0.69432,0.82308,0.71716,0.71744,0.75953,0.45533,1.6626,0.95521,0.87369,0.0009012,0.0009012,0.0009012
108,19186.6,1.41022,0.70325,0.83589,0.76479,0.66891,0.74409,0.44824,1.66791,1.00689,0.87311,0.0008814,0.0008814,0.0008814
109,19384.8,1.38978,0.71927,0.8343,0.75318,0.68034,0.7445,0.44999,1.65758,0.99684,0.87292,0.0008616,0.0008616,0.0008616
110,19551.4,1.39058,0.70849,0.82821,0.75358,0.73378,0.76283,0.45999,1.62587,0.92107,0.87245,0.0008418,0.0008418,0.0008418
111,19729.4,1.34509,0.70293,0.83599,0.73343,0.75057,0.76106,0.46177,1.61473,0.90075,0.87335,0.000822,0.000822,0.000822
112,19889.3,1.32742,0.6751,0.82746,0.79038,0.72318,0.77233,0.46177,1.6528,0.91969,0.87471,0.0008022,0.0008022,0.0008022
113,20080.7,1.379,0.68355,0.81312,0.80238,0.6827,0.7617,0.46238,1.64553,0.92944,0.87482,0.0007824,0.0007824,0.0007824
114,20252,1.36283,0.67193,0.8229,0.76726,0.68085,0.75025,0.45066,1.62826,0.93979,0.87631,0.0007626,0.0007626,0.0007626
115,20425.3,1.39794,0.71627,0.8295,0.78982,0.67244,0.75337,0.45225,1.62812,0.93126,0.87549,0.0007428,0.0007428,0.0007428
116,20584.7,1.37053,0.68291,0.81615,0.77254,0.66868,0.75874,0.46223,1.63954,0.92143,0.87409,0.000723,0.000723,0.000723
117,20790.1,1.3866,0.67144,0.81465,0.71215,0.69197,0.74792,0.4556,1.64616,0.94,0.87742,0.0007032,0.0007032,0.0007032
118,20964.6,1.36509,0.68433,0.81508,0.72487,0.66623,0.7215,0.44059,1.6634,0.95182,0.88342,0.0006834,0.0006834,0.0006834
119,21172.8,1.34465,0.6601,0.81048,0.71935,0.68908,0.72403,0.4351,1.66452,0.93976,0.88542,0.0006636,0.0006636,0.0006636
120,21332.3,1.32423,0.66333,0.8157,0.68469,0.71697,0.73908,0.44854,1.64652,0.92416,0.8812,0.0006438,0.0006438,0.0006438
121,21521.1,1.29399,0.64886,0.81819,0.71213,0.70714,0.74829,0.46277,1.63469,0.91905,0.87493,0.000624,0.000624,0.000624
122,21686.1,1.32026,0.65328,0.81619,0.7244,0.71566,0.74311,0.45607,1.63075,0.92454,0.87474,0.0006042,0.0006042,0.0006042
123,21877.9,1.31407,0.64652,0.80843,0.72394,0.71577,0.74744,0.45904,1.62268,0.9122,0.87366,0.0005844,0.0005844,0.0005844
124,22040.4,1.33201,0.64727,0.81493,0.74337,0.72335,0.75474,0.45645,1.60637,0.88796,0.87139,0.0005646,0.0005646,0.0005646
125,22221.3,1.30841,0.64851,0.81621,0.75849,0.7171,0.75765,0.46124,1.60122,0.8818,0.8687,0.0005448,0.0005448,0.0005448
126,22388.9,1.31067,0.62288,0.80959,0.72557,0.753,0.76518,0.46598,1.60465,0.88936,0.86838,0.000525,0.000525,0.000525
127,22582.8,1.26768,0.63278,0.81336,0.74687,0.75115,0.76544,0.46968,1.60142,0.89342,0.86919,0.0005052,0.0005052,0.0005052
128,22757,1.29563,0.64067,0.81451,0.78644,0.72517,0.76986,0.48349,1.59508,0.8869,0.87215,0.0004854,0.0004854,0.0004854
129,22957.5,1.29384,0.62723,0.81654,0.77184,0.72912,0.76583,0.48237,1.59714,0.88539,0.8716,0.0004656,0.0004656,0.0004656
130,23128.5,1.31594,0.65389,0.81523,0.78594,0.72466,0.76527,0.48532,1.59125,0.88974,0.87057,0.0004458,0.0004458,0.0004458
131,23331,1.35394,0.62793,0.8069,0.78359,0.72224,0.76349,0.48155,1.57819,0.894,0.87034,0.000426,0.000426,0.000426
132,23488.7,1.29808,0.6164,0.80832,0.74808,0.72979,0.75957,0.48161,1.58239,0.89794,0.87115,0.0004062,0.0004062,0.0004062
133,23684.6,1.27381,0.60607,0.81309,0.73514,0.75226,0.76156,0.47784,1.59306,0.89636,0.86999,0.0003864,0.0003864,0.0003864
134,23845.8,1.27104,0.6034,0.81102,0.80951,0.70661,0.76421,0.48312,1.60539,0.89895,0.86981,0.0003666,0.0003666,0.0003666
135,24045.9,1.25635,0.5991,0.80799,0.78655,0.71274,0.76311,0.48067,1.59984,0.89718,0.86846,0.0003468,0.0003468,0.0003468
136,24210.6,1.25387,0.59858,0.81523,0.74683,0.73288,0.76427,0.47529,1.59631,0.88516,0.87113,0.000327,0.000327,0.000327
137,24420.7,1.28867,0.60376,0.8141,0.7884,0.65542,0.76695,0.46916,1.61553,0.93232,0.87475,0.0003072,0.0003072,0.0003072
138,24581.8,1.27147,0.6154,0.81734,0.78848,0.6542,0.75589,0.46142,1.61221,0.92529,0.87252,0.0002874,0.0002874,0.0002874
139,24790.1,1.26402,0.59193,0.81191,0.77937,0.68484,0.77284,0.47846,1.59331,0.89985,0.86939,0.0002676,0.0002676,0.0002676
140,24952.5,1.29192,0.61101,0.8083,0.7746,0.721,0.76867,0.47766,1.59017,0.88071,0.86619,0.0002478,0.0002478,0.0002478
141,25175.6,1.23345,0.58524,0.81303,0.78058,0.72041,0.772,0.47657,1.59409,0.88226,0.86651,0.000228,0.000228,0.000228
142,25335.8,1.23642,0.58615,0.80558,0.79207,0.72872,0.77738,0.47641,1.57927,0.87739,0.86634,0.0002082,0.0002082,0.0002082
143,25538.8,1.21512,0.5842,0.8061,0.80569,0.7296,0.77946,0.47926,1.57332,0.87743,0.86539,0.0001884,0.0001884,0.0001884
144,25695.9,1.21977,0.57492,0.81689,0.8079,0.73195,0.77854,0.48548,1.56916,0.87348,0.86656,0.0001686,0.0001686,0.0001686
145,25896.3,1.19578,0.57058,0.81068,0.80187,0.73132,0.77791,0.48724,1.56627,0.87213,0.86633,0.0001488,0.0001488,0.0001488
146,26057.4,1.23793,0.5737,0.80578,0.7977,0.73532,0.77634,0.48334,1.57176,0.87033,0.86805,0.000129,0.000129,0.000129
147,26262.9,1.20904,0.56966,0.80853,0.8001,0.73695,0.77619,0.48524,1.57444,0.86848,0.86901,0.0001092,0.0001092,0.0001092
148,26419.8,1.1972,0.55793,0.80589,0.7983,0.73573,0.77437,0.48849,1.57333,0.86588,0.86858,8.94e-05,8.94e-05,8.94e-05
149,26615.7,1.25273,0.57924,0.80738,0.79617,0.73385,0.77538,0.48848,1.57168,0.86363,0.86891,6.96e-05,6.96e-05,6.96e-05
150,26773,1.21425,0.56868,0.80352,0.80465,0.72918,0.77608,0.49105,1.57017,0.85882,0.86914,4.98e-05,4.98e-05,4.98e-05
